prenom,sexe,annee_naissance,occurrence
ALBANE,FILLE,2019,12.0
ALBIN,GARCON,2019,7.0
ALICE,FILLE,2019,58.0
ALIX,FILLE,2019,28.0
AMALIA,FILLE,2019,6.0
ANDRÉA,FILLE,2019,8.0
AUGUSTE,GARCON,2019,8.0
BRUNE,FILLE,2019,6.0
CALIE,FILLE,2019,8.0
CÉLESTINE,FILLE,2019,9.0
CORENTIN,GARCON,2019,9.0
ÉDEN,GARCON,2019,6.0
ELIAS,GARCON,2019,8.0
ENZO,GARCON,2019,14.0
ERNEST,GARCON,2019,8.0
ESTEBAN,GARCON,2019,13.0
FATOUMATA,FILLE,2019,11.0
GASPARD,GARCON,2019,32.0
INÈS,FILLE,2019,45.0
JADE,FILLE,2019,46.0
JULIA,FILLE,2019,24.0
JUSTINE,FILLE,2019,7.0
KHADIJA,FILLE,2019,6.0
LÉONIE,FILLE,2019,28.0
LOAN,GARCON,2019,7.0
LOÏS,GARCON,2019,7.0
LOU,FILLE,2019,27.0
LOU,GARCON,2019,7.0
LOUIS,GARCON,2019,45.0
LUCIEN,GARCON,2019,16.0
MADDY,FILLE,2019,6.0
MAËLLE,FILLE,2019,9.0
MANON,FILLE,2019,14.0
MARCEAU,GARCON,2019,35.0
MARIA,FILLE,2019,7.0
MARTIN,GARCON,2019,30.0
MATTÉO,GARCON,2019,10.0
MIA,FILLE,2019,32.0
NAËL,GARCON,2019,13.0
NORA,FILLE,2019,19.0
OSCAR,GARCON,2019,15.0
OWEN,GARCON,2019,12.0
RAPHAËL,GARCON,2019,48.0
ROBIN,GARCON,2019,32.0
VALENTINE,FILLE,2019,20.0
YANN,GARCON,2019,6.0
